species,year,w,alpha,in.hull,outlier,total
bthu,2008,0,5,2,0,2
bthu,2008,3,5,1,0,1
bthu,2008,5,5,1,0,1
bthu,2008,8,5,1,0,1
bthu,2008,9,5,2,0,2
bthu,2008,10,5,2,0,2
bthu,2008,11,5,1,0,1
bthu,2008,12,5,5,0,5
bthu,2008,13,5,3,0,3
bthu,2008,14,5,10,0,9
bthu,2008,15,4.3,15,2,13
bthu,2008,16,2.7,14,8,17
bthu,2008,17,2.6,34,4,33
bthu,2008,18,3.7,24,2,22
bthu,2008,19,1.4,36,14,46
bthu,2008,20,1.8,44,6,48
bthu,2008,21,1.5,19,10,27
bthu,2008,22,2.5,35,4,36
bthu,2008,23,2.8,34,4,34
bthu,2008,24,2.3,33,4,28
bthu,2008,25,1.6,34,10,37
bthu,2008,26,2.1,49,6,46
bthu,2008,27,1.4,30,13,36
bthu,2008,28,1.4,48,6,42
bthu,2008,29,1.4,70,7,64
bthu,2008,30,2.2,43,12,44
bthu,2008,31,2.7,33,6,32
bthu,2008,32,3,44,7,36
bthu,2008,33,2.1,38,7,30
bthu,2008,34,1.7,43,13,44
bthu,2008,35,3,24,2,20
bthu,2008,36,1.5,49,15,46
bthu,2008,37,2.1,41,5,40
bthu,2008,38,2.7,29,4,28
bthu,2008,39,3.3,27,4,28
bthu,2008,40,2.8,24,3,25
bthu,2008,41,3.3,22,2,23
bthu,2008,42,2.9,15,2,14
bthu,2008,43,2.1,27,4,25
bthu,2008,44,2.9,26,3,22
bthu,2008,45,5,13,0,8
bthu,2008,46,5,9,0,4
bthu,2008,47,5,4,0,4
bthu,2008,48,5,7,0,6
bthu,2008,49,5,2,0,2
bthu,2008,50,5,2,0,2
bthu,2009,0,5,2,0,2
bthu,2009,1,5,1,0,1
bthu,2009,3,5,1,0,1
bthu,2009,6,5,1,0,1
bthu,2009,7,5,1,0,1
bthu,2009,8,5,3,0,3
bthu,2009,9,5,2,0,2
bthu,2009,10,5,6,0,6
bthu,2009,11,5,3,0,3
bthu,2009,12,5,10,0,9
bthu,2009,13,5,4,0,4
bthu,2009,14,5,5,0,5
bthu,2009,15,2,10,7,17
bthu,2009,16,2.6,22,3,23
bthu,2009,17,2,28,3,25
bthu,2009,18,1.9,37,14,41
bthu,2009,19,1.4,67,7,58
bthu,2009,20,2.4,45,4,39
bthu,2009,21,2.1,80,10,76
bthu,2009,22,1.3,83,8,77
bthu,2009,23,1.7,66,7,64
bthu,2009,24,1.5,57,7,60
bthu,2009,25,2,64,7,63
bthu,2009,26,1.8,51,12,53
bthu,2009,27,1.9,48,6,48
bthu,2009,28,2,66,7,62
bthu,2009,29,1.8,52,6,49
bthu,2009,30,1.4,63,13,65
bthu,2009,31,2.3,49,5,48
bthu,2009,32,1.7,68,8,68
bthu,2009,33,1.8,62,7,64
bthu,2009,34,1.7,70,7,68
bthu,2009,35,2,60,6,59
bthu,2009,36,1.7,70,8,70
bthu,2009,37,2.6,43,5,39
bthu,2009,38,1.6,63,8,58
bthu,2009,39,1.4,85,10,75
bthu,2009,40,1.6,75,9,67
bthu,2009,41,1.4,61,7,54
bthu,2009,42,1.6,69,8,59
bthu,2009,43,2.2,67,7,65
bthu,2009,44,2.1,40,5,38
bthu,2009,45,2.3,39,7,38
bthu,2009,46,2.1,46,3,42
bthu,2009,47,1.4,12,14,22
bthu,2009,48,3.3,9,8,11
bthu,2009,49,4.5,15,2,12
bthu,2009,50,3.2,14,2,11
bthu,2009,51,5,15,0,8
bthu,2009,52,5,5,0,3
bthu,2009,53,5,1,0,1
bthu,2009,55,5,1,0,1
bthu,2009,56,5,1,0,1
bthu,2009,57,5,3,0,3
bthu,2009,59,5,1,0,1
bthu,2009,61,5,1,0,1
bthu,2009,62,5,2,0,2
bthu,2010,0,5,7,0,6
bthu,2010,1,5,1,0,1
bthu,2010,3,5,1,0,1
bthu,2010,4,5,2,0,2
bthu,2010,5,5,2,0,2
bthu,2010,6,5,5,0,5
bthu,2010,7,5,7,0,7
bthu,2010,8,5,13,0,13
bthu,2010,9,5.64,25,7,26
bthu,2010,10,1.9,25,18,34
bthu,2010,11,1.5,29,13,37
bthu,2010,12,2.6,53,5,52
bthu,2010,13,1.8,81,9,67
bthu,2010,14,1.6,100,10,91
bthu,2010,15,1.3,120,13,115
bthu,2010,16,1.2,125,17,110
bthu,2010,17,1.3,101,12,97
bthu,2010,18,1.6,81,10,69
bthu,2010,19,1.6,89,11,74
bthu,2010,20,1.4,76,7,71
bthu,2010,21,1.7,40,14,44
bthu,2010,22,2.2,68,7,68
bthu,2010,23,1.8,70,11,69
bthu,2010,24,2.5,74,9,69
bthu,2010,25,1.3,132,13,118
bthu,2010,26,1.4,99,11,86
bthu,2010,27,1.5,93,13,86
bthu,2010,28,1.5,84,10,79
bthu,2010,29,1.3,94,10,87
bthu,2010,30,1.8,79,8,71
bthu,2010,31,1.4,84,15,87
bthu,2010,32,1.3,100,11,92
bthu,2010,33,1.4,110,18,103
bthu,2010,34,1.5,89,21,82
bthu,2010,35,1.6,74,9,65
bthu,2010,36,2,62,8,55
bthu,2010,37,1.8,63,6,57
bthu,2010,38,2.3,54,7,45
bthu,2010,39,1.5,55,6,52
bthu,2010,40,2.4,44,4,34
bthu,2010,41,1.8,20,3,19
bthu,2010,42,5,15,0,12
bthu,2010,43,5.6,15,2,14
bthu,2010,44,3.9,15,1,13
bthu,2010,45,5,7,0,7
bthu,2010,46,5,4,0,2
bthu,2010,47,5,3,0,3
bthu,2010,48,5,3,0,2
bthu,2010,49,5,1,0,1
bthu,2010,50,5,2,0,1
bthu,2010,53,5,2,0,2
bthu,2010,55,5,2,0,2
bthu,2010,56,5,4,0,1
bthu,2010,57,5,2,0,1
bthu,2010,59,5,1,0,1
bthu,2011,0,1.8,13,9,16
bthu,2011,1,5,1,0,1
bthu,2011,2,5,2,0,2
bthu,2011,5,5,1,0,1
bthu,2011,6,5,2,0,2
bthu,2011,7,5,1,0,1
bthu,2011,8,5,4,0,4
bthu,2011,9,5,5,0,3
bthu,2011,10,1.3,19,3,12
bthu,2011,11,2.1,16,2,13
bthu,2011,12,1.3,15,2,13
bthu,2011,13,2.7,26,4,21
bthu,2011,14,1.6,24,3,18
bthu,2011,15,1.8,43,4,25
bthu,2011,16,1.8,47,6,37
bthu,2011,17,1.8,62,6,50
bthu,2011,18,2.4,60,7,50
bthu,2011,19,1.7,84,8,66
bthu,2011,20,1.9,78,10,67
bthu,2011,21,1.4,83,11,73
bthu,2011,22,1.2,150,14,130
bthu,2011,23,1.3,130,13,111
bthu,2011,24,1.6,113,14,102
bthu,2011,25,1.4,119,14,102
bthu,2011,26,1.4,123,13,104
bthu,2011,27,1.7,90,8,81
bthu,2011,28,1.9,80,7,76
bthu,2011,29,1.4,90,18,96
bthu,2011,30,1.4,62,21,71
bthu,2011,31,1.3,89,8,87
bthu,2011,32,1.2,105,11,98
bthu,2011,33,1.2,109,12,101
bthu,2011,34,1.4,80,10,73
bthu,2011,35,1.4,92,10,81
bthu,2011,36,1.3,85,9,81
bthu,2011,37,1.2,114,10,100
bthu,2011,38,1.5,123,16,112
bthu,2011,39,1.3,91,10,79
bthu,2011,40,1.5,97,11,91
bthu,2011,41,1.5,120,13,89
bthu,2011,42,1.6,69,8,63
bthu,2011,43,1.5,67,16,70
bthu,2011,44,1.2,94,10,84
bthu,2011,45,1.6,55,6,48
bthu,2011,46,1.7,43,4,39
bthu,2011,47,2.2,41,4,36
bthu,2011,48,2.8,35,5,28
bthu,2011,49,1.9,7,20,19
bthu,2011,50,5,14,0,10
bthu,2011,51,1.4,7,10,12
bthu,2011,52,3.9,10,8,11
bthu,2011,53,5,11,0,6
bthu,2011,54,5,4,0,4
bthu,2011,55,5,2,0,2
bthu,2011,56,5,2,0,2
bthu,2011,57,5,2,0,1
bthu,2011,58,5,5,0,5
bthu,2011,59,5,5,0,4
bthu,2012,0,4.7,16,2,14
bthu,2012,2,5,1,0,1
bthu,2012,4,5,1,0,1
bthu,2012,5,5,2,0,2
bthu,2012,7,5,5,0,5
bthu,2012,8,5,7,0,5
bthu,2012,9,5,4,0,4
bthu,2012,10,5,7,0,6
bthu,2012,11,5,6,0,6
bthu,2012,12,2.9,21,3,18
bthu,2012,13,1.7,27,3,26
bthu,2012,14,1.5,37,4,28
bthu,2012,15,1.5,36,5,37
bthu,2012,16,1.6,59,11,49
bthu,2012,17,1.4,92,14,78
bthu,2012,18,1.3,114,11,105
bthu,2012,19,1.4,108,11,89
bthu,2012,20,1.2,169,14,151
bthu,2012,21,1.2,122,13,110
bthu,2012,22,1.2,129,13,118
bthu,2012,23,1.2,150,20,135
bthu,2012,24,1.5,139,16,117
bthu,2012,25,1.5,158,16,148
bthu,2012,26,1.4,131,15,124
bthu,2012,27,1.7,127,15,124
bthu,2012,28,1.3,113,11,103
bthu,2012,29,1.2,148,13,130
bthu,2012,30,1.4,127,19,126
bthu,2012,31,1.2,159,11,136
bthu,2012,32,1.3,140,14,120
bthu,2012,33,1.2,155,11,149
bthu,2012,34,1.2,135,13,126
bthu,2012,35,1.2,125,14,120
bthu,2012,36,1.2,145,12,139
bthu,2012,37,1.2,155,9,128
bthu,2012,38,1.3,150,16,132
bthu,2012,39,1.3,107,12,96
bthu,2012,40,1.2,141,14,113
bthu,2012,41,1.7,104,13,95
bthu,2012,42,1.9,64,10,60
bthu,2012,43,1.2,98,4,86
bthu,2012,44,1.7,58,12,56
bthu,2012,45,1.4,29,11,34
bthu,2012,46,1.9,30,4,24
bthu,2012,47,2.1,35,5,33
bthu,2012,48,1.6,11,9,15
bthu,2012,49,5,7,0,7
bthu,2012,50,5,6,0,5
bthu,2012,51,5,7,0,5
bthu,2012,52,5,1,0,1
bthu,2012,53,5,2,0,2
bthu,2012,54,5,1,0,1
bthu,2013,0,1.8,22,7,23
bthu,2013,1,5,5,0,5
bthu,2013,2,5,2,0,2
bthu,2013,3,5,4,0,4
bthu,2013,4,5,6,0,6
bthu,2013,5,5,4,0,4
bthu,2013,6,5,10,0,10
bthu,2013,7,5,15,0,13
bthu,2013,8,2.5,17,3,18
bthu,2013,9,2.2,35,5,28
bthu,2013,10,1.8,52,5,43
bthu,2013,11,2.3,48,6,39
bthu,2013,12,1.4,49,6,45
bthu,2013,13,1.1,99,11,82
bthu,2013,14,1.3,161,16,133
bthu,2013,15,1.2,176,14,146
bthu,2013,16,1.2,226,16,180
bthu,2013,17,1.1,275,15,232
bthu,2013,18,1.2,253,10,206
bthu,2013,19,1.2,237,10,199
bthu,2013,20,1.2,237,19,194
bthu,2013,21,1.2,227,17,196
bthu,2013,22,1.2,151,19,144
bthu,2013,23,1.2,173,17,158
bthu,2013,24,1.3,157,18,145
bthu,2013,25,1.2,143,17,138
bthu,2013,26,1.5,112,13,110
bthu,2013,27,1.2,182,19,167
bthu,2013,28,1.3,181,20,171
bthu,2013,29,1.2,177,15,157
bthu,2013,30,1.2,209,18,182
bthu,2013,31,1.2,168,18,149
bthu,2013,32,1.2,211,20,195
bthu,2013,33,1.2,151,11,134
bthu,2013,34,1.2,219,14,177
bthu,2013,35,1.2,206,8,170
bthu,2013,36,1.6,143,15,122
bthu,2013,37,1.2,172,15,146
bthu,2013,38,1.2,136,9,125
bthu,2013,39,1.3,107,13,99
bthu,2013,40,1.5,102,12,89
bthu,2013,41,1.6,68,7,61
bthu,2013,42,1.5,68,7,55
bthu,2013,43,1.6,38,10,38
bthu,2013,44,2.4,38,4,31
bthu,2013,45,2.6,28,8,27
bthu,2013,46,1.9,11,7,14
bthu,2013,47,5,15,0,12
bthu,2013,48,5,8,0,5
bthu,2013,49,5,10,0,7
bthu,2013,50,5,2,0,2
bthu,2013,51,5,1,0,1
bthu,2013,52,5,4,0,2
bthu,2014,0,2.8,17,1,13
bthu,2014,1,5,1,0,1
bthu,2014,5,5,1,0,1
bthu,2014,7,5,3,0,3
bthu,2014,8,5,12,0,12
bthu,2014,9,5,13,0,12
bthu,2014,10,4.3,15,2,15
bthu,2014,11,1.3,36,3,34
bthu,2014,12,2,37,5,33
bthu,2014,13,1.9,51,6,40
bthu,2014,14,1.1,75,7,57
bthu,2014,15,1.4,127,15,97
bthu,2014,16,1.2,179,11,131
bthu,2014,17,1.2,209,19,187
bthu,2014,18,1.2,291,13,220
bthu,2014,19,1.2,377,6,272
bthu,2014,20,1.2,330,11,259
bthu,2014,21,1.2,421,15,317
bthu,2014,22,1.2,433,31,333
bthu,2014,23,1.2,432,18,341
bthu,2014,24,1.1,326,14,268
bthu,2014,25,1.2,318,15,261
bthu,2014,26,1.2,251,80,262
bthu,2014,27,1.2,250,23,231
bthu,2014,28,1.2,280,20,242
bthu,2014,29,1.2,349,24,321
bthu,2014,30,1.2,278,20,243
bthu,2014,31,1.2,215,20,194
bthu,2014,32,1.2,316,11,274
bthu,2014,33,1.2,365,23,282
bthu,2014,34,1.2,243,19,217
bthu,2014,35,1.2,335,15,289
bthu,2014,36,1.2,324,15,251
bthu,2014,37,1.2,271,17,216
bthu,2014,38,1.2,265,14,199
bthu,2014,39,1.2,271,16,201
bthu,2014,40,1.2,289,20,228
bthu,2014,41,1.2,211,20,175
bthu,2014,42,1.2,259,18,211
bthu,2014,43,1.1,217,13,171
bthu,2014,44,1.3,189,22,156
bthu,2014,45,1.3,152,18,120
bthu,2014,46,1.2,130,19,103
bthu,2014,47,1.3,55,4,45
bthu,2014,48,1.7,46,4,35
bthu,2014,49,1.5,35,4,27
bthu,2014,50,2.3,10,8,13
bthu,2014,51,5,10,0,6
bthu,2014,52,5,11,0,9
bthu,2014,53,5,1,0,1
bthu,2014,54,5,3,0,3
bthu,2014,55,5,3,0,2
bthu,2014,57,5,2,0,2
bthu,2014,58,5,5,0,3
